-0.48,0.4,9.78,-0.14889,-0.18667,-0.042222
-0.48,0.05,9.56,-0.15333,-0.20333,-0.056667
-0.58,0.08,9.59,-0.15333,-0.23222,-0.06
-0.6,0.08,9.76,-0.14667,-0.25667,-0.046667
-0.51,0.17,10.01,-0.15778,-0.28889,-0.028889
-0.45,0.5,10.19,-0.15778,-0.28889,-0.028889
-0.46,0.56,9.93,-0.16111,-0.27556,-0.037778
-0.44,0.46,10.14,-0.14,-0.23,-0.051111
-0.57,0.16,9.93,-0.12556,-0.19333,-0.055556
-0.51,0.01,10.14,-0.11222,-0.14556,-0.05
-0.65,0.09,10.22,-0.096667,-0.057778,-0.011111
-0.59,0.03,10.22,-0.096667,-0.057778,-0.011111
-0.72,0.12,10.38,-0.088889,0,0.013333
-0.78,0.09,10.34,-0.077778,0.051111,0.036667
-0.75,-0.07,9.18,-0.0055556,0.14667,0.083333
-0.62,-0.37,9.18,-0.0055556,0.14667,0.083333
-0.56,-0.65,9.15,0.066667,0.13889,0.12111
-0.68,-0.53,9.29,0.11333,0.087778,0.16778
-0.64,-0.07,9.69,0.15556,0.02,0.21
-0.78,0.16,9.94,0.17444,-0.03,0.22778
-0.74,0.38,10.26,0.14444,-0.028889,0.20111
-0.7,0.45,9.92,0.10667,0,0.20111
-0.59,0.34,9.82,0.071111,0.018889,0.17333
-0.5,0.23,9.54,0.032222,0.041111,0.14556
-0.43,0.1,9.46,0.0011111,0.021111,0.12667
-0.55,0.13,9.81,0.0011111,0.021111,0.11889
-0.55,0.2,9.75,-0.011111,-0.0011111,0.11889
-0.52,0.25,9.83,-0.024444,-0.011111,0.10889
-0.5,0.2,9.74,-0.04,-0.013333,0.092222
-0.43,0.06,9.69,-0.054444,-0.016667,0.071111
-0.51,-0.07,9.65,-0.048889,-0.043333,0.058889
-0.42,-0.19,9.65,-0.048889,-0.043333,0.058889
-0.46,0,9.8,-0.05,-0.056667,0.067778
-0.46,0.1,9.96,-0.048889,-0.054444,0.074444
-0.52,0.08,9.46,-0.066667,0,0.065556
-0.56,0.08,9.46,-0.066667,0,0.062222
-0.37,-0.14,9.68,-0.05,0.028889,0.062222
-0.45,-0.18,9.44,-0.037778,0.044444,0.07
-0.4,-0.17,9.59,-0.02,0.066667,0.084444
-0.53,0.04,9.92,-0.012222,0.087778,0.1
-0.44,0.15,10.1,-0.027778,0.16556,0.1
-0.61,0.27,9.73,-0.038889,0.16556,0.1
-0.6,0.32,9.76,-0.046667,0.19778,0.09
-0.53,0.2,9.62,-0.043333,0.23333,0.072222
-0.4,0.13,9.06,0.011111,0.19556,0.054444
-0.36,0.12,9.06,0.011111,0.19556,0.054444
-0.44,0.16,9.49,0.053333,0.14556,0.054444
-0.47,0.29,9.92,0.08,0.12,0.042222
-0.6,0.33,10.59,0.077778,0.11222,0.025556
-0.51,0.29,10.1,0.056667,0.17667,-0.011111
-0.55,0,9.69,0.054444,0.21889,-0.025556
-0.55,0,9.69,0.054444,0.21889,-0.025556
-0.41,-0.23,9.96,0.063333,0.22444,-0.021111
-0.63,-0.09,10.03,0.10667,0.21444,0
-0.7,0.43,9.68,0.11667,0.19444,0.026667
-0.7,0.43,9.6,0.081111,0.17889,0.017778
-0.67,0.47,9.6,0.081111,0.17889,0.017778
-0.78,0.54,10.16,0.07,0.18444,0.0088889
-0.78,0.63,10.1,0.062222,0.19111,-0.012222
-0.44,0.15,9.03,0.025556,0.11222,-0.05
-0.44,0.15,9.03,0.027778,0.034444,-0.054444
-0.81,0.21,9.27,0.027778,0.034444,-0.054444
-0.74,0.23,10.06,0.027778,-0.026667,-0.062222
-0.93,0.29,9.11,-0.0088889,-0.091111,-0.073333
-1.02,0.27,9.48,-0.096667,-0.14,-0.097778
-1.02,0.27,9.48,-0.096667,-0.17667,-0.1
-0.99,0.07,9.74,-0.11778,-0.17667,-0.1
